99219 v0 v9999
v0 v3 314 894
v0 v4 287 812
v0 v29 638 932
v0 v35 71 314
v0 v54 778 502
v0 v70 277 614
v0 v80 259 681
v0 v88 758 183
v1 v13 622 216
v1 v22 489 580
v1 v33 866 643
v1 v55 377 322
v1 v66 797 371
v1 v76 660 362
v1 v82 326 758
v1 v91 327 249
v1 v92 720 674
v1 v95 186 765
v2 v5 707 37
v2 v42 316 305
v2 v59 769 48
v3 v8 531 721
v3 v12 825 331
v3 v42 674 377
v3 v72 105 502
v3 v81 757 892
v3 v89 93 129
v4 v10 711 446
v4 v17 692 746
v4 v38 980 377
v4 v56 53 290
v4 v72 159 923
v5 v22 958 26
v5 v31 599 492
v5 v61 576 766
v5 v71 761 922
v5 v74 895 46
v5 v75 19 345
v5 v84 18 898
v5 v90 129 421
v5 v99 626 125
v6 v10 526 649
v6 v11 664 106
v6 v18 214 399
v6 v31 88 261
v6 v47 186 577
v6 v90 457 807
v6 v104 34 125
v7 v0 73 885
v7 v3 461 487
v7 v36 677 54
v7 v50 529 223
v7 v52 491 995
v7 v53 552 3
v7 v62 972 584
v7 v70 29 752
v7 v78 173 157
v7 v106 468 742
v8 v21 612 383
v8 v22 823 85
v8 v37 513 110
v8 v43 72 949
v8 v56 272 373
v8 v62 986 973
v8 v65 487 846
v8 v70 813 198
v8 v71 437 239
v8 v95 9 218
v9 v3 818 721
v9 v17 949 192
v9 v30 383 897
v9 v62 816 735
v9 v75 794 460
v10 v24 262 348
v10 v54 443 977
v10 v77 560 605
v11 v7 434 330
v11 v37 711 680
v11 v86 736 430
v11 v91 814 953
v12 v3 209 137
v12 v29 359 165
v12 v38 940 981
v12 v81 586 75
v13 v42 32 331
v13 v60 364 729
v14 v3 49 804
v14 v8 872 447
v14 v27 85 373
v14 v32 847 505
v14 v42 924 286
v14 v45 316 173
v15 v10 923 161
v15 v12 400 270
v15 v35 748 954
v15 v58 864 83
v15 v60 895 965
v15 v61 656 546
v15 v104 522 899
v15 v112 512 721
v16 v5 472 408
v16 v24 511 922
v16 v32 915 378
v16 v35 240 651
v16 v58 662 399
v16 v109 293 180
v17 v36 939 779
v17 v42 123 129
v17 v106 475 794
v18 v1 199 348
v18 v10 736 643
v18 v26 368 601
v18 v37 704 909
v18 v57 47 69
v18 v67 508 935
v19 v1 598 819
v19 v15 290 490
v19 v58 861 524
v20 v13 230 577
v20 v31 795 280
v20 v68 474 688
v20 v89 989 178
v21 v11 294 340
v21 v36 512 477
v21 v73 747 644
v21 v77 593 917
v21 v87 932 457
v21 v93 565 475
v21 v97 10 485
v21 v118 972 968
v21 v121 947 515
v22 v15 188 258
v22 v17 57 971
v22 v47 14 263
v22 v69 313 890
v22 v82 860 49
v22 v102 194 73
v23 v3 428 877
v23 v40 366 435
v23 v92 872 466
v24 v25 383 338
v24 v81 689 498
v24 v120 128 4
v25 v22 723 839
v26 v8 763 289
v26 v67 856 432
v26 v110 529 804
v27 v2 334 65
v27 v6 820 590
v27 v36 663 964
v27 v82 51 321
v27 v87 101 878
