99225 v0 v9999
v0 v40 221 0
v0 v72 677 0
v0 v83 391 0
v1 v12 189 0
v1 v24 997 0
v1 v28 360 0
v1 v49 361 0
v1 v59 420 0
v1 v85 532 0
v1 v93 949 0
v2 v0 41 0
v2 v7 257 0
v2 v56 572 0
v2 v71 826 0
v3 v3 517 0
v3 v17 145 0
v3 v32 468 0
v3 v34 310 0
v3 v38 928 0
v3 v76 872 0
v3 v94 767 0
v3 v98 178 0
v4 v9 982 0
v4 v60 346 0
v4 v76 72 0
v4 v83 36 0
v4 v90 56 0
v5 v14 737 0
v5 v19 358 0
v5 v55 240 0
v5 v60 284 0
v5 v66 391 0
v5 v73 781 0
v5 v82 743 0
v6 v4 280 0
v6 v9 314 0
v6 v13 9 0
v6 v14 367 0
v6 v43 865 0
v6 v45 240 0
v6 v57 621 0
v6 v65 952 0
v6 v67 623 0
v6 v76 743 0
v7 v27 123 0
v7 v33 441 0
v7 v50 756 0
v7 v64 607 0
v7 v74 530 0
v7 v79 967 0
v7 v101 912 0
v7 v102 852 0
v8 v25 102 0
v8 v51 704 0
v8 v86 274 0
v9 v2 739 0
v9 v23 20 0
v9 v26 289 0
v9 v27 646 0
v9 v28 767 0
v9 v39 760 0
v9 v69 789 0
v9 v92 705 0
v10 v0 532 0
v10 v4 434 0
v10 v35 426 0
v11 v6 374 0
v11 v25 279 0
v11 v34 735 0
v11 v42 29 0
v11 v65 680 0
v11 v74 623 0
v11 v93 173 0
v12 v12 854 0
v12 v62 951 0
v12 v70 524 0
v12 v87 151 0
v13 v29 981 0
v13 v44 669 0
v13 v63 970 0
v13 v68 288 0
v13 v81 332 0
v13 v85 756 0
v13 v113 973 0
v14 v12 587 0
v14 v19 408 0
v14 v23 424 0
v14 v107 849 0
v15 v1 229 0
v15 v7 624 0
v15 v12 615 0
v15 v40 33 0
v15 v52 492 0
v15 v106 216 0
v15 v108 372 0
v16 v19 764 0
v16 v22 641 0
v16 v66 440 0
v16 v91 914 0
v17 v19 962 0
v17 v31 437 0
v17 v45 675 0
v17 v74 790 0
v18 v21 330 0
v18 v40 130 0
v18 v84 822 0
v19 v15 892 0
v19 v17 386 0
v19 v19 918 0
v19 v66 927 0
v19 v70 649 0
v19 v74 492 0
v19 v100 556 0
v20 v6 545 0
v20 v22 992 0
v20 v30 257 0
v20 v75 858 0
v21 v22 580 0
v21 v23 968 0
v21 v35 469 0
v21 v67 194 0
v21 v94 561 0
v21 v104 249 0
v22 v31 459 0
v22 v41 612 0
v22 v72 951 0
v22 v102 541 0
v22 v103 393 0
v22 v104 926 0
v22 v122 39 0
v23 v48 106 0
v23 v57 969 0
v23 v65 310 0
v23 v85 944 0
v23 v89 246 0
v23 v95 145 0
v23 v107 843 0
v23 v113 709 0
v23 v114 785 0
v24 v16 490 0
v24 v18 397 0
v24 v32 14 0
v24 v98 824 0
v25 v43 882 0
v25 v76 901 0
v25 v86 503 0
v25 v105 912 0
v25 v112 326 0
v25 v118 767 0
v25 v121 892 0
v25 v123 389 0
v26 v0 688 0
v26 v29 13 0
v26 v46 810 0
v26 v83 911 0
v27 v13 483 0
v27 v52 378 0
v27 v95 364 0
v27 v119 659 0
v28 v20 289 0
v28 v56 224 0
v28 v66 731 0
v28 v68 603 0
v28 v71 718 0
v28 v91 617 0
v28 v111 12 0
v29 v16 788 0
v29 v27 953 0
v29 v35 576 0
v29 v41 442 0
v29 v45 64 0
v29 v56 576 0
v30 v5 812 0
v30 v16 302 0
v30 v25 611 0
v30 v71 518 0
v30 v85 615 0
v30 v110 508 0
v30 v118 446 0
v30 v128 88 0
v31 v12 61 0
v31 v16 901 0
v31 v44 328 0
v31 v45 687 0
v31 v61 67 0
v31 v65 284 0
v32 v27 71 0
v32 v34 676 0
v32 v35 345 0
v32 v44 598 0
v32 v50 164 0
v32 v63 687 0
v32 v76 783 0
v32 v82 519 0
v32 v99 957 0
v32 v103 585 0
v32 v105 446 0
v33 v30 875 0
v33 v33 516 0
v33 v48 386 0
v33 v49 471 0
v33 v77 445 0
v33 v107 889 0
v33 v112 103 0
v34 v14 12 0
v34 v23 67 0
v34 v88 960 0
v34 v106 553 0
v34 v113 181 0
v34 v121 914 0
v34 v123 596 0
v35 v10 872 0
v35 v47 160 0
v35 v50 873 0
v35 v72 143 0
v35 v78 9 0
v35 v82 494 0
v35 v101 340 0
v35 v116 234 0
v35 v118 234 0
v35 v122 48 0
v36 v14 132 0
v36 v52 935 0
v36 v83 463 0
v36 v84 363 0
v36 v103 855 0
v36 v107 109 0
v36 v122 291 0
v37 v0 318 0
v37 v10 940 0
v37 v17 912 0
v37 v18 828 0
v37 v61 117 0
v37 v73 73 0
v37 v81 109 0
v38 v20 981 0
v38 v25 198 0
v38 v94 713 0
v38 v106 183 0
v38 v113 743 0
v38 v124 179 0
v39 v16 415 0
v39 v65 783 0
v39 v85 153 0
v39 v104 388 0
v39 v105 445 0
v39 v106 613 0
v39 v107 267 0
v39 v121 317 0
v39 v124 731 0
v39 v133 639 0
v40 v28 900 0
v40 v38 399 0
v40 v64 231 0
v40 v76 703 0
v40 v97 999 0
v40 v105 416 0
v40 v120 189 0
v40 v123 109 0
v40 v139 635 0
v41 v14 142 0
v41 v26 763 0
v41 v30 375 0
v41 v37 710 0
v41 v41 43 0
v41 v73 247 0
v41 v75 540 0
v41 v91 841 0
v42 v5 571 0
v42 v26 838 0
v42 v50 493 0
v42 v73 683 0
v42 v87 968 0
v42 v107 507 0
v42 v131 959 0
v43 v3 869 0
v43 v26 884 0
v43 v28 837 0
v43 v70 234 0
v43 v72 804 0
v43 v84 782 0
v44 v3 670 0
v44 v34 658 0
v44 v36 658 0
v44 v49 689 0
v44 v102 661 0
v44 v107 328 0
v44 v111 313 0
v44 v144 635 0
v45 v18 369 0
v45 v59 954 0
v45 v61 820 0
v45 v74 348 0
v45 v75 208 0
v45 v96 375 0
v45 v139 145 0
v46 v129 152 0
v46 v134 310 0
v46 v141 425 0
v47 v18 632 0
v47 v28 585 0
v47 v47 680 0
v47 v69 99 0
v47 v80 964 0
v47 v83 493 0
v47 v96 233 0
v47 v139 27 0
v48 v5 737 0
