99584 v0 v9999
v0 v7 659 8
v0 v49 455 8
v0 v61 510 9
v0 v65 472 0
v0 v67 91 3
v0 v70 116 10
v0 v85 225 4
v0 v96 13 1
v0 v98 433 6
v1 v1 945 5
v1 v24 829 2
v1 v26 567 0
v1 v47 413 8
v1 v62 694 10
v1 v65 417 9
v1 v75 688 6
v1 v82 921 6
v1 v86 72 8
v1 v89 359 7
v1 v90 222 6
v1 v91 21 3
v2 v17 706 9
v2 v25 841 6
v2 v46 546 1
v2 v73 871 5
v2 v101 285 6
v3 v0 149 2
v3 v65 954 4
v3 v76 946 5
v3 v80 167 0
v3 v100 459 1
v3 v102 601 10
v4 v33 461 1
v5 v66 99 10
v5 v74 634 4
v6 v14 70 3
v6 v25 435 2
v6 v39 978 6
v6 v104 332 8
v7 v12 160 4
v7 v22 253 4
v7 v27 733 6
v7 v53 933 2
v7 v89 510 2
v7 v104 663 3
v7 v107 844 7
v8 v8 339 1
v8 v16 776 8
v8 v17 499 4
v8 v52 540 8
v9 v1 989 6
v9 v79 549 2
v9 v91 446 6
v10 v14 971 7
v10 v18 979 6
v10 v19 902 2
v10 v45 821 10
v10 v50 576 6
v10 v54 513 8
v10 v77 459 4
v10 v97 8 2
v11 v80 257 8
v12 v8 256 0
v12 v34 466 2
v12 v43 710 7
v12 v72 857 5
v12 v75 951 3
v13 v21 51 4
v13 v38 905 10
v13 v44 116 6
v13 v67 370 4
v13 v71 628 3
v13 v91 728 2
v13 v97 186 10
v13 v108 0 5
v13 v112 88 3
v15 v12 175 7
v15 v28 159 4
v15 v52 711 2
v15 v61 337 0
v15 v69 252 3
v15 v109 874 10
v16 v10 5 1
v16 v17 804 6
v16 v45 201 5
v16 v52 193 10
v16 v53 376 4
v16 v57 794 2
v16 v71 697 4
v16 v86 709 3
v16 v112 680 2
v16 v116 157 10
v17 v18 661 2
v17 v37 476 2
v17 v38 367 2
v17 v52 797 6
v17 v55 274 4
v17 v58 472 2
v17 v65 61 7
v17 v106 888 9
v18 v12 994 9
v18 v59 701 1
v18 v72 839 9
v18 v84 103 9
v18 v88 561 4
v18 v91 418 10
v18 v97 476 8
v18 v111 42 9
v19 v16 390 0
v19 v74 228 0
v20 v13 391 7
v20 v16 652 10
v20 v41 789 7
v20 v71 22 8
v20 v86 343 4
v20 v90 765 8
v20 v93 412 4
v21 v23 582 8
v21 v35 659 2
v21 v54 940 7
v21 v71 112 1
v21 v73 92 6
v21 v96 717 2
v21 v100 703 3
v21 v106 614 9
v21 v110 977 3
v22 v5 941 3
v22 v15 948 3
v22 v27 838 4
v22 v39 871 6
v22 v44 16 6
v22 v64 847 5
v22 v87 290 3
v22 v98 898 4
v22 v104 240 2
v22 v105 136 2
v22 v116 648 1
v22 v117 541 7
v22 v118 481 9
v23 v52 998 4
v23 v62 935 2
v23 v94 830 3
v23 v117 783 4
v24 v5 760 4
v24 v51 888 3
v24 v58 630 7
v24 v81 783 2
v24 v106 182 10
v25 v5 533 4
v25 v65 216 2
v26 v6 967 1
v26 v41 957 7
v26 v51 311 1
v26 v54 857 3
v26 v55 778 10
v26 v59 656 10
v26 v67 131 1
v26 v113 423 3
v26 v114 214 8
v27 v7 222 4
v27 v15 896 6
v27 v17 181 1
v27 v21 86 7
v27 v31 605 6
v27 v54 351 5
v27 v56 830 3
v27 v80 225 5
v27 v85 442 2
v27 v100 347 10
v28 v16 168 0
v28 v20 505 10
v28 v35 966 1
