937 v0 v99 
v0 v0 97 570
v0 v1 340 953
v0 v2 930 362
v0 v8 259 516
v0 v10 404 687
v1 v0 991 913
v1 v3 515 504
v1 v6 324 727
v1 v8 119 320
v1 v9 130 511
v2 v2 897 269
v2 v5 320 446
v2 v7 503 782
v2 v12 193 152
v3 v0 187 36
v3 v1 167 722
v3 v2 118 916
v3 v4 365 726
v3 v6 115 866
v3 v8 357 95
v3 v9 290 184
v4 v1 994 4
v4 v4 78 252
v4 v8 697 696
v4 v9 382 604
v4 v11 331 157
v4 v12 471 850
v5 v1 673 5
v5 v2 44 671
v5 v4 970 749
v5 v8 883 49
v5 v10 817 56
v5 v14 261 182
v5 v15 789 886
v6 v0 21 872
v6 v1 397 798
v6 v2 662 770
v6 v4 305 502
v6 v10 98 852
v6 v11 204 501
v6 v12 397 487
v6 v13 614 433
v6 v14 432 830
v6 v15 190 444
v7 v0 525 349
v7 v8 479 447
v7 v9 820 489
v7 v10 130 700
v7 v14 48 564
v7 v15 46 525
v7 v16 435 422
v7 v17 676 737
v8 v1 260 599
v8 v2 515 16
v8 v3 677 473
v8 v4 186 863
v8 v5 85 426
v8 v7 601 741
v8 v8 686 460
v8 v10 989 940
v8 v12 189 80
v8 v16 547 18
v8 v17 119 13
v8 v18 488 471
v9 v7 689 986
v9 v9 309 89
v9 v10 14 195
v9 v11 16 712
v9 v14 664 148
v9 v16 641 878
v9 v18 308 788
v9 v19 485 432
v10 v0 170 924
v10 v1 719 455
v10 v3 880 460
v10 v5 583 849
v10 v7 8 105
v10 v15 499 409
v11 v4 323 566
v11 v5 914 663
v11 v6 484 119
v11 v9 714 446
v11 v10 294 743
v11 v11 352 448
v11 v12 224 601
v11 v14 616 873
v11 v17 300 740
v12 v7 767 88
v12 v9 204 160
v12 v11 425 965
v12 v13 214 570
v12 v14 18 367
v12 v16 162 178
v12 v19 65 345
v12 v20 632 232
v12 v21 229 498
v12 v22 348 803
v13 v3 47 788
v13 v5 154 873
v13 v11 468 985
v13 v13 108 800
v13 v18 107 171
v13 v22 299 725
v13 v23 518 510
v14 v5 662 372
v14 v6 141 125
v14 v8 425 787
v14 v10 828 485
v14 v11 517 175
v14 v12 381 732
v14 v14 680 251
v14 v15 771 542
v14 v16 233 141
v14 v18 419 919
v14 v19 872 528
v14 v21 30 453
v14 v22 10 734
v15 v5 322 411
v15 v7 62 402
v15 v12 646 730
v15 v16 907 697
v15 v20 352 8
v15 v24 413 456
v16 v9 353 908
v16 v14 550 342
v16 v15 736 757
v16 v19 523 565
v16 v20 348 775
v16 v22 911 815
v16 v24 852 792
v16 v25 432 517
v16 v26 61 861
v17 v7 642 519
v17 v8 48 774
v17 v10 305 586
v17 v12 241 824
v17 v19 306 291
v17 v23 386 532
v17 v25 528 596
v17 v26 797 369
v17 v27 150 728
v18 v8 421 83
v18 v9 435 909
v18 v10 219 456
v18 v11 693 538
v18 v12 572 531
v18 v21 166 147
v18 v24 991 721
v18 v28 33 764
v19 v9 572 378
v19 v11 872 418
v19 v12 378 585
v19 v13 535 156
v19 v14 312 383
v19 v15 497 28
v19 v17 603 431
v19 v18 915 312
v19 v20 838 757
v19 v22 357 69
v19 v24 586 317
v19 v28 737 853
v20 v12 460 683
v20 v13 887 745
v20 v14 819 639
v20 v16 238 921
v20 v17 553 46
v20 v28 572 87
v20 v29 633 554
v21 v11 583 534
v21 v12 487 514
v21 v14 958 544
v21 v15 19 281
v21 v17 722 859
v21 v19 826 546
v21 v21 46 503
v21 v23 447 184
v21 v24 880 540
v21 v25 263 93
v21 v26 101 554
v21 v27 147 187
v21 v28 91 157
v21 v29 417 694
v21 v30 629 984
v21 v31 27 730
v22 v12 399 101
v22 v13 422 914
v22 v14 384 964
v22 v16 207 245
v22 v21 117 275
v22 v22 475 566
v22 v23 495 29
v22 v24 239 935
v22 v26 986 600
v22 v28 568 667
v22 v30 416 456
v22 v31 651 512
v22 v32 991 145
v23 v13 172 800
v23 v14 975 433
v23 v17 832 475
v23 v21 61 955
v23 v23 256 859
v23 v27 860 522
v23 v28 165 756
v23 v30 91 404
v24 v16 516 980
v24 v23 678 329
v24 v24 470 982
v24 v26 708 136
v24 v28 487 4
v24 v31 916 713
v25 v17 31 913
v25 v21 832 385
v25 v23 181 859
v25 v26 473 379
v25 v28 226 760
v25 v29 287 696
v25 v31 92 835
v25 v33 735 226
v25 v34 505 990
v25 v35 287 504
v26 v18 200 840
v26 v20 284 582
v26 v22 198 675
v26 v26 602 131
v26 v28 955 583
v26 v32 868 694
v26 v33 993 709
v27 v18 437 656
v27 v22 864 416
