950 v0 v99
v0 v1 281 0
v0 v2 754 0
v0 v5 432 0
v0 v6 223 0
v0 v8 203 0
v0 v9 603 0
v1 v0 825 0
v1 v2 159 0
v1 v4 94 0
v1 v5 867 0
v1 v11 565 0
v2 v5 233 0
v2 v9 464 0
v2 v10 363 0
v3 v1 650 0
v3 v3 473 0
v3 v4 947 0
v3 v8 32 0
v3 v9 67 0
v3 v13 511 0
v4 v2 142 0
v4 v6 597 0
v4 v7 141 0
v4 v8 48 0
v4 v9 163 0
v4 v11 610 0
v5 v0 738 0
v5 v3 656 0
v5 v4 445 0
v5 v5 976 0
v5 v9 640 0
v5 v12 382 0
v6 v0 331 0
v6 v1 951 0
v6 v4 59 0
v6 v7 497 0
v6 v10 675 0
v6 v12 540 0
v7 v1 687 0
v7 v2 529 0
v7 v3 230 0
v7 v4 602 0
v7 v6 724 0
v7 v7 927 0
v7 v9 243 0
v7 v11 135 0
v7 v12 484 0
v7 v13 99 0
v7 v14 420 0
v7 v16 669 0
v7 v17 745 0
v8 v1 196 0
v8 v3 187 0
v8 v4 895 0
v8 v5 882 0
v8 v6 553 0
v8 v10 497 0
v8 v11 410 0
v8 v12 2 0
v8 v13 802 0
v8 v14 713 0
v8 v15 303 0
v9 v1 598 0
v9 v4 983 0
v9 v6 69 0
v9 v7 964 0
v9 v9 83 0
v9 v12 267 0
v9 v14 271 0
v9 v15 660 0
v9 v16 951 0
v9 v17 636 0
v9 v18 218 0
v9 v19 357 0
v10 v1 161 0
v10 v7 836 0
v10 v9 899 0
v10 v10 911 0
v10 v12 288 0
v10 v14 649 0
v10 v16 929 0
v10 v17 433 0
v10 v18 341 0
v10 v20 759 0
v11 v2 9 0
v11 v3 904 0
v11 v7 130 0
v11 v8 920 0
v11 v10 255 0
v11 v11 573 0
v11 v15 166 0
v11 v17 754 0
v11 v19 685 0
v11 v20 806 0
v11 v21 39 0
v12 v2 836 0
v12 v3 840 0
v12 v4 675 0
v12 v5 285 0
v12 v7 656 0
v12 v10 28 0
v12 v12 594 0
v12 v13 610 0
v12 v14 805 0
v12 v15 523 0
v12 v16 590 0
v12 v17 725 0
v12 v18 947 0
v12 v19 71 0
v12 v22 921 0
v13 v5 713 0
v13 v7 680 0
v13 v11 561 0
v13 v12 215 0
v13 v15 452 0
v13 v22 679 0
v13 v23 974 0
v14 v5 203 0
v14 v6 250 0
v14 v9 907 0
v14 v11 409 0
