940 v0 v99
v0 v2 92 8
v0 v3 740 1
v0 v6 1000 4
v0 v7 51 1
v1 v0 693 5
v1 v1 118 1
v1 v4 141 10
v1 v6 915 7
v1 v8 750 1
v1 v9 350 2
v1 v10 409 7
v1 v11 394 7
v2 v3 712 0
v2 v6 933 9
v2 v9 625 6
v3 v6 64 4
v3 v8 889 10
v3 v12 978 10
v4 v3 744 3
v4 v7 846 8
v4 v10 956 2
v4 v12 507 2
v4 v13 503 5
v4 v14 993 4
v5 v0 228 8
v5 v2 240 1
v5 v3 820 9
v5 v4 877 7
v5 v5 121 7
v5 v7 413 6
v5 v8 562 0
v6 v0 349 5
v6 v4 785 9
v6 v7 463 1
v6 v8 674 3
v6 v9 363 10
v6 v11 534 5
v6 v13 168 7
v6 v14 734 6
v6 v15 625 3
v6 v16 952 6
v7 v0 844 3
v7 v2 424 0
v7 v7 674 9
v7 v9 510 0
v7 v11 957 6
v7 v16 592 2
v8 v0 396 10
v8 v4 623 3
v8 v5 986 5
v8 v7 136 2
v8 v8 716 8
v8 v9 718 8
v8 v14 639 4
v8 v17 727 10
v9 v0 555 10
v9 v1 118 5
v9 v10 13 8
v9 v11 390 2
v9 v12 57 3
v9 v13 804 2
v9 v16 63 4
v9 v17 554 0
v9 v18 463 1
v10 v2 662 8
v10 v3 523 4
v10 v5 390 6
v10 v6 807 10
v10 v7 565 0
v10 v8 257 3
v11 v1 181 10
v11 v2 985 2
v11 v4 41 6
v11 v5 270 2
v11 v6 866 4
v11 v7 477 2
v11 v8 950 5
v11 v13 808 9
v11 v15 724 5
v11 v20 556 8
v11 v21 357 3
v12 v4 300 3
v12 v7 574 10
v12 v8 684 5
v12 v9 926 10
v12 v14 937 1
v12 v15 553 4
v12 v16 529 5
v12 v20 667 3
v12 v21 84 1
v12 v22 979 8
v13 v5 644 3
v13 v7 106 3
v13 v15 470 5
v13 v16 75 0
v13 v17 257 8
v13 v18 841 3
v13 v20 461 10
v13 v21 323 0
v13 v22 121 8
v13 v23 737 9
v14 v4 763 9
v14 v5 868 1
v14 v6 514 1
v14 v7 702 4
v14 v9 948 7
v14 v10 841 10
v14 v11 160 8
v14 v12 764 6
v14 v15 649 2
v14 v16 908 10
v14 v17 972 0
v14 v20 5 9
v14 v24 766 5
v15 v5 927 10
v15 v7 188 3
v15 v9 117 2
v15 v12 769 8
v15 v13 562 1
v15 v14 68 4
v15 v15 743 9
v15 v17 131 10
v15 v19 634 1
v15 v21 461 5
v15 v23 598 2
v15 v25 323 6
v16 v6 320 3
v16 v10 368 2
v16 v12 491 7
v16 v13 793 4
v16 v15 661 9
v16 v16 287 2
v16 v18 751 10
v16 v19 77 0
v16 v25 37 8
v16 v26 915 8
v17 v7 793 2
v17 v8 228 9
v17 v10 475 8
v17 v12 514 0
v17 v17 526 2
v17 v18 183 9
v17 v24 224 7
v17 v25 270 5
v17 v26 684 3
v18 v9 939 7
v18 v11 664 5
v18 v12 991 8
v18 v14 759 4
v18 v17 387 5
v18 v20 257 6
v18 v22 415 5
v18 v24 811 7
v18 v26 903 2
v18 v27 235 1
v19 v9 153 2
v19 v10 616 1
v19 v12 338 1
v19 v15 165 10
v19 v17 44 2
v19 v19 644 8
v19 v20 586 2
v19 v21 264 2
v19 v23 992 9
v19 v29 621 7
v20 v11 850 6
v20 v15 675 8
v20 v16 741 10
